ProdID,OrderDate,ShippedBy,Zip,CountryCode,Qty,UnitPrice,UnitCost,PID,Product Reference,SubcatID,BrandID,Color,SUBCATID,SUBCAT,CAT,Name,Creation year,Website
491,10/02/2024,PHL,7760,MX,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,03/08/2022,The Pickup Guys,4009,MX,3,89.224,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,09/26/2022,World Connection,3124,AU,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,07/13/2022,SpeedEx,747-0004,JP,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,05/31/2024,Euro Express,42510,FR,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,02/09/2022,PHL,58541,US,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,11/27/2024,BD Kerschen,76135,US,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,04/19/2024,SpeedEx,69370,FR,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,09/30/2022,SpeedEx,747-0036,JP,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,09/16/2024,SpeedEx,4810,MX,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,04/01/2023,SPU,93274,US,3,91.7963,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,04/30/2022,Speedissimo,13353,DE,3,89.224,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,08/30/2022,The Pickup Guys,32068,US,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,07/03/2022,Fast Delivery Family,4970,MX,3,89.224,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,08/07/2024,BD Kerschen,14129,DE,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,10/02/2024,SPU,500001,NG,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,02/22/2024,SpeedEx,6369,AU,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,08/02/2024,BD Kerschen,25071,US,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,05/21/2024,SpeedEx,3533,AU,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,02/11/2024,World Connection,960-0787,JP,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,06/04/2024,PHL,35740,FR,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,07/11/2022,Red Dart,961-0972,JP,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,07/10/2022,Fast Delivery Family,2352,AU,3,89.2238,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,09/09/2023,SpeedEx,9100,FR,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,12/29/2024,Fast Delivery Family,18200,FR,3,94.211,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,12/03/2024,BD Kerschen,500001,NG,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,03/25/2024,PHL,1292,AU,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
491,03/18/2024,BD Kerschen,2142,AU,3,93.555,40.0537,491,XR-6550-J,6,7,Chocolate,6,Fitness,Sportswear,Wild Spirit ,2010,wild-spirit.com
